Student_ID,login_frequency,avg_session_duration,completed_assignments,quiz_scores_avg,forum_participation,resource_views,task_completion_time,task_accuracy,error_count,repetition_needed,motion_intensity,safety_violations,attention_span_score,fatigue_level,collaboration_index,performance_score,efficiency_gain,instruction_recommendation,Age,Gender,Grade_Level,ID_Level,Adaptive_Functioning,Independent_Learning,Assistance_Level,Working_Memory,Attention_Control,Processing_Speed,Executive_Function,Reasoning_Skill,Reading_Level,Language_Comprehension,Vocabulary_Level,Communication_Mode,Motivation,Emotional_Regulation,Social_Interaction,Sensory_Sensitivity,Preferred_Learning_Mode,Prompt_Dependency,Repetition_Need,Activity_Duration,Literacy_Level,Numeracy_Level,Daily_Living_Skills,Task_Complexity_Tolerance,Recommended_Difficulty,Recommended_Content,Visual_Support,Audio_Support,Session_Length
S001,9,47.9,9,75.7,0,6,19.0,75.8,4,3,0.55,0,0.94,0.41,0.85,65.4,8.6,Adaptive,12,Male,4,Moderate,2,Medium,Minimal,4.0,5,4,4.0,4.0,Emerging,Medium,Low,AAC,8,8,6,Medium,Mixed,Low,High,Medium,3,5,5,Easy,Easy,Video,Yes,Yes,30
S002,22,20.7,9,79.8,19,14,11.1,92.2,2,2,0.76,1,0.72,0.44,0.89,71.6,5.2,Adaptive,12,Female,7,Moderate,2,Medium,Partial,2.0,4,5,3.0,3.0,Beginner,Medium,Medium,Verbal,4,1,3,High,Mixed,Low,High,Short,2,5,1,Medium,Easy,Video,Yes,Yes,10
S003,17,26.3,7,74.5,5,38,10.5,94.3,1,3,0.69,0,0.95,0.67,0.43,65.6,10.4,Competency-Based,17,Male,7,Mild,4,High,Minimal,5.0,6,8,6.0,3.0,Intermediate,High,High,Non-verbal,5,8,8,High,Mixed,Low,Medium,Medium,10,5,7,High,Medium,Video,Yes,Yes,20
S004,13,41.1,4,88.9,17,20,11.4,93.3,5,2,0.37,0,0.9,0.17,0.42,80.6,6.3,Adaptive,12,Male,5,Moderate,2,Medium,Partial,3.0,2,3,4.0,3.0,Beginner,Medium,Medium,Verbal,1,4,3,Medium,Audio,Low,High,Short,4,2,4,Medium,Easy,Flashcards,Yes,Yes,25
S005,10,54.0,9,83.0,7,52,11.8,97.0,5,1,0.58,0,0.52,0.4,0.75,74.8,8.9,Adaptive,14,Female,8,Moderate,3,Low,Partial,1.0,5,4,6.0,5.0,Beginner,Medium,Medium,Non-verbal,4,4,3,Medium,Mixed,Medium,High,Short,8,3,4,Medium,Easy,Worksheet,Yes,No,20
S006,23,40.3,5,73.5,6,55,22.0,61.0,3,2,0.52,0,0.43,0.54,0.45,57.6,6.4,Competency-Based,10,Male,8,Moderate,2,Medium,Partial,4.0,5,5,1.0,2.0,Beginner,Medium,Medium,AAC,4,5,3,Medium,Hands-on,Medium,High,Medium,4,10,5,Medium,Easy,Quiz,Yes,No,30
S007,9,25.7,5,89.1,0,43,24.3,91.9,1,3,0.7,0,0.54,0.25,0.84,79.1,6.5,Adaptive,13,Female,10,Mild,4,High,Minimal,8.0,5,5,6.0,5.0,Beginner,High,Medium,Verbal,6,7,9,High,Hands-on,Medium,Low,Medium,5,2,7,High,Medium,Quiz,No,Yes,20
S008,21,45.6,6,61.0,15,26,19.7,88.6,3,3,0.66,0,0.69,0.54,0.64,60.9,8.0,Competency-Based,13,Female,10,Severe,2,Low,Full,4.0,5,1,7.0,5.0,Beginner,Low,Low,AAC,4,3,3,Low,Hands-on,Medium,High,Short,1,3,4,Easy,Easy,Flashcards,Yes,Yes,10
S009,13,48.3,7,57.1,11,16,26.2,68.7,2,1,0.65,0,0.49,0.75,0.51,49.2,20.0,Competency-Based,10,Female,7,Mild,4,Low,Minimal,5.0,7,6,5.0,7.0,Beginner,High,Medium,AAC,5,8,10,Low,Mixed,Low,Low,Medium,5,5,6,High,Medium,Video,Yes,No,30
S010,13,25.7,6,57.2,5,28,29.8,96.3,6,2,0.47,0,0.49,0.8,0.8,56.2,5.0,Competency-Based,11,Female,11,Severe,1,Low,Full,1.0,3,2,6.0,3.0,Emerging,Low,Low,Non-verbal,3,2,1,High,Audio,High,High,Short,1,4,3,Easy,Easy,Quiz,Yes,No,10
